# cp [..cp] ; HO ; SVO ; MVO
FE4D ; U ; R ; R
FE4E ; U ; R ; R
FE4F ; U ; R ; R
FE50 ; U ; Tu ; Tu
FE51 ; U ; Tu ; Tu
FE52 ; U ; Tu ; Tu
FE53 ; U ; U ; U
FE54 ; U ; U ; U
FE55 ; U ; U ; U
FE56 ; U ; U ; U
FE57 ; U ; U ; U
FE58 ; U ; R ; R
FE59 ; U ; Tr ; Tr
FE5A ; U ; Tr ; Tr
FE5B ; U ; Tr ; Tr
FE5C ; U ; Tr ; Tr
FE5D ; U ; Tr ; Tr
FE5E ; U ; Tr ; Tr
FE5F ; U ; U ; U
FE60 ; U ; U ; U
FE61 ; U ; U ; U
FE62 ; U ; U ; U
FE63 ; U ; R ; R
FE64 ; U ; R ; R
FE65 ; U ; R ; R
FE66 ; U ; R ; R
FE67 ; U ; U ; U
FE68 ; U ; U ; U
FE69 ; U ; U ; U
FE6A ; U ; U ; U
FE6B ; U ; U ; U
FE6C..FE6F ; U ; U ; U
FE70..FEFF ; U ; U ; R
FF00 ; U ; U ; R
FF01 ; U ; Tu ; Tu
FF02 ; U ; U ; U
FF03 ; U ; U ; U
FF04 ; U ; U ; U
FF05 ; U ; U ; U
FF06 ; U ; U ; U
FF07 ; U ; U ; U
FF08 ; U ; Tr ; Tr
FF09 ; U ; Tr ; Tr
FF0A ; U ; U ; U
FF0B ; U ; U ; U
FF0C ; U ; Tu ; Tu
FF0D ; U ; R ; R
FF0E ; U ; Tu ; Tu
FF0F ; U ; U ; U
FF10 ; U ; U ; U
FF11 ; U ; U ; U
FF12 ; U ; U ; U
FF13 ; U ; U ; U
FF14 ; U ; U ; U
FF15 ; U ; U ; U
FF16 ; U ; U ; U
FF17 ; U ; U ; U
FF18 ; U ; U ; U
FF19 ; U ; U ; U
FF1A ; U ; Tr ; Tr
FF1B ; U ; Tr ; Tr
FF1C ; U ; R ; R
FF1D ; U ; R ; R
FF1E ; U ; R ; R
FF1F ; U ; U ; U
FF20 ; U ; U ; U
FF21..FF3A ; U ; U ; U
FF3B ; U ; Tr ; Tr
FF3C ; U ; U ; U
FF3D ; U ; Tr ; Tr
FF3E ; U ; U ; U
FF3F ; U ; Tr ; Tr
FF40 ; U ; U ; U
FF41..FF5A ; U ; U ; U
FF5B ; U ; Tr ; Tr
FF5C ; U ; Tr ; Tr
FF5D ; U ; Tr ; Tr
FF5E ; U ; Tr ; Tr
FF5F ; U ; Tr ; Tr
FF60 ; U ; Tr ; Tr
FF61 ; U ; Tu ; R
FF62 ; U ; Tr ; R
FF63 ; U ; Tr ; R
FF64 ; U ; Tu ; R
FF65 ; U ; U ; R
FF66 ; U ; U ; R
FF67 ; U ; Tu ; R
FF68 ; U ; Tu ; R
FF69 ; U ; Tu ; R
FF6A ; U ; Tu ; R
FF6B ; U ; Tu ; R
FF6C ; U ; Tu ; R
FF6D ; U ; Tu ; R
FF6E ; U ; Tu ; R
FF6F ; U ; Tu ; R
FF70 ; U ; Tr ; R
FF71..FF9F ; U ; U ; R
FFA0..FFDF ; U ; U ; R
FFE0 ; U ; U ; U
FFE1 ; U ; U ; U
FFE2 ; U ; U ; U
FFE3 ; U ; Tr ; Tr
FFE4 ; U ; U ; U
FFE5 ; U ; U ; U
FFE6 ; U ; U ; U
FFE7 ; U ; U ; U
FFE8 ; U ; U ; R
FFE9 ; U ; U ; R
FFEA ; U ; U ; R
FFEB ; U ; U ; R
FFEC ; U ; U ; R
FFED ; U ; U ; R
FFEE ; U ; U ; R
FFEF ; U ; U ; R
FFF0 ; U ; U ; U
FFF1 ; U ; U ; U
FFF2 ; U ; U ; U
FFF3 ; U ; U ; U
FFF4 ; U ; U ; U
FFF5 ; U ; U ; U
FFF6 ; U ; U ; U
FFF7 ; U ; U ; U
FFF8 ; U ; U ; U
FFF9..FFFB ; U ; U ; R
FFFD ; U ; U ; U
FFFE ; U ; U ; R
FFFF ; U ; U ; R
10000..1007F ; U ; U ; R
10080..100FF ; U ; U ; R
10100..1013F ; U ; U ; R
10140..1018F ; U ; U ; R
10190..101CF ; U ; U ; R
101D0..101FF ; U ; U ; R
10280..1029F ; U ; U ; R
102A0..102DF ; U ; U ; R
10300..1032F ; U ; U ; R
10330..1034F ; U ; U ; R
10380..1039F ; U ; U ; R
103A0..103DF ; U ; U ; R
10400..1044F ; U ; U ; R
10450..1047F ; U ; U ; R
10480..104AF ; U ; U ; R
10800..1083F ; U ; U ; R
10840..1085F ; U ; U ; R
10900..1091F ; U ; U ; R
10920..1093F ; U ; U ; R
10980..1099F ; U ; U ; R
109A0..109FF ; U ; U ; R
10A00..10A5F ; U ; U ; R
10A60..10A7F ; U ; U ; R
10B00..10B3F ; U ; U ; R
10B40..10B5F ; U ; U ; R
10B60..10B7F ; U ; U ; R
10C00..10C4F ; U ; U ; R
10E60..10E7F ; U ; U ; R
11000..1107F ; U ; U ; R
11080..110CF ; U ; U ; R
110D0..110FF ; U ; U ; R
11100..1114F ; U ; U ; R
11180..111DF ; U ; U ; R
11680..116CF ; U ; U ; R
12000..123FF ; U ; U ; R
12400..1247F ; U ; U ; R
13000..1342F ; U ; U ; U
16800..16A3F ; U ; U ; R
16F00..16F9F ; U ; U ; R
1B000..1B0FF ; U ; U ; U
1D000..1D0FF ; U ; U ; U
1D100..1D1FF ; U ; U ; U
1D200..1D24F ; U ; U ; R
1D300..1D35F ; U ; U ; U
1D360..1D37F ; U ; U ; U
1D400..1D7FF ; U ; U ; R
1EE00..1EEFF ; U ; U ; R
1F000..1F02F ; U ; U ; U
1F030..1F09F ; U ; U ; U
1F0A0..1F0FF ; U ; U ; U
1F100..1F1FF ; U ; U ; U
1F200 ; U ; Tu ; Tu
1F201 ; U ; Tu ; Tu
1F202..1F2FF ; U ; U ; U
1F300..1F5FF ; U ; U ; U
1F600..1F64F ; U ; U ; U
1F680..1F6FF ; U ; U ; U
1F700..1F77F ; U ; U ; U
20000..2A6DF ; U ; U ; U
2A6E0..2A6FF ; U ; U ; U
2A700..2B73F ; U ; U ; U
2B740..2B81F ; U ; U ; U
2B820..2F7FF ; U ; U ; U
2F800..2FA1F ; U ; U ; U
2FA20..2FFFD ; U ; U ; U
30000..3FFFD ; U ; U ; U
E0100..E01EF ; U ; U ; R
